Transaction Time (CET),Transaction Category,Transaction Type,Asset Id,Asset Name,Asset Currency,Transaction Currency,Currency Pair,Exchange Rate,Transaction Amount,Trade Amount,Trade Price,Trade Quantity,Cash Balance Amount,Profit And Loss Amount,Profit And Loss Currency,Transaction Description
2024-11-18 15:33:52.196000,trades,Sell Trade,US0231351067,Amazon.com,USD,EUR,EURUSD,1.05927,29.93,31.7017038,203.19,0.15602,409.73,9.82,EUR,Order Partial Id: dc03bb9e-798f-45aa-9c32-fe6905ced383 - 2
2024-11-18 15:34:02.715000,withdrawals,Sepa Withdrawal,,,,EUR,,,-409.0,,,,0.73,,,
2024-11-18 15:34:18.486000,withdrawals,Sepa Withdrawal,,,,EUR,,,-0.7,,,,0.03,,,
2024-11-20 20:48:56.374000,fees,Trading Fee,US30303M1027,Meta Platforms,,EUR,,,-0.99,,,,199.97,,,Order Id: 90b35d55-0253-44c2-afe3-aba8820c2b61
2024-11-20 20:48:56.374000,trades,Sell Trade,US30303M1027,Meta Platforms,USD,EUR,EURUSD,1.05681,200.93,212.34906,561.77,0.378,200.96,98.77,EUR,Order Partial Id: 90b35d55-0253-44c2-afe3-aba8820c2b61 - 1
2024-11-20 20:49:09.297000,withdrawals,Sepa Withdrawal,,,,EUR,,,-199.97,,,,0.0,,,
2024-12-19 11:06:08.830000,dividends,Cash Dividend,GB00BP6MXD84,Shell,EUR,EUR,EUREUR,1.0,11.49,,,,11.49,,,
2024-12-19 11:06:08.831000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,8.5,,,Period: 2024-11
2024-12-27 10:25:42.601000,dividends,Cash Dividend,US30303M1027,Meta Platforms,USD,EUR,EURUSD,1.04387,0.66,,,,9.16,,,
2024-12-27 11:43:45.474000,dividends,Cash Dividend,IE00B3XXRP09,Vanguard S&P 500,USD,EUR,EURUSD,1.04418,1.88,,,,11.04,,,
2025-01-01 09:11:24.166000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,8.05,,,Period: 2024-12
2025-01-16 11:08:35.400000,dividends,Cash Dividend,NL0011821202,ING,EUR,EUR,EUREUR,1.0,21.67,,,,29.72,,,
2025-02-01 09:25:08.840000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,26.73,,,Period: 2025-01
2025-02-06 07:27:31.062000,interest,Interest Payment,,,,EUR,,,0.04,,,,26.77,,,Period: 2025 M1
2025-02-13 10:27:03.788000,dividends,Cash Dividend,US0378331005,Apple,USD,EUR,EURUSD,1.04391,0.61,,,,27.38,,,
2025-02-19 11:06:36.755000,dividends,Cash Dividend,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,2.4,,,,29.78,,,
2025-03-01 09:11:22.806000,fees,Subscription Fee,,,,EUR,,,-2.99,,,,26.79,,,Period: 2025-02
2025-03-06 07:27:46.574000,interest,Interest Payment,,,,EUR,,,0.02,,,,26.81,,,Period: 2025 M2
2025-03-17 16:46:29.820000,others,Security Lending Revenue,,,EUR,EUR,EUREUR,1.0,0.21,,,,27.02,,,
